id,volume,rel_path,src,score,signals
lni307/A6-0,lni307,lni307/A6-0.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni307\A6-0.pdf,4.0,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni338/45,lni338,lni338/45.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni338\45.pdf,3.0,"{""artifact_vocab"": 3}"
lni48/GI.Band.48-15,lni48,lni48/GI.Band.48-15.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni48\GI.Band.48-15.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni365/AKWI2025_fullpaper_10,lni365,lni365/AKWI2025_fullpaper_10.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni365\AKWI2025_fullpaper_10.pdf,7.0,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni165/286,lni165,lni165/286.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni165\286.pdf,10.0,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni108/3,lni108,lni108/3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni108\3.pdf,5.0,"{""source_vocab"": 2, ""artifact_vocab"": 1}"
lni192/355,lni192,lni192/355.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni192\355.pdf,1.0,"{""artifact_vocab"": 1}"
lni177/168,lni177,lni177/168.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni177\168.pdf,9.0,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni158/77,lni158,lni158/77.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni158\77.pdf,0.0,{}
lni78/GI-Proceedings-78-3,lni78,lni78/GI-Proceedings-78-3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni78\GI-Proceedings-78-3.pdf,1.0,"{""prog_lang"": 1}"
lni55/GI-Proceedings.55-26,lni55,lni55/GI-Proceedings.55-26.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni55\GI-Proceedings.55-26.pdf,17.0,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni192/446,lni192,lni192/446.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni192\446.pdf,0.0,{}
lni332/paper52,lni332,lni332/paper52.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni332\paper52.pdf,18.0,"{""repo_url"": 2, ""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 2}"
lni214/185,lni214,lni214/185.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni214\185.pdf,14.0,"{""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni68/GI-Proceedings.68-144,lni68,lni68/GI-Proceedings.68-144.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni68\GI-Proceedings.68-144.pdf,0.0,{}
lni26/GI-Proceedings.26-43,lni26,lni26/GI-Proceedings.26-43.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni26\GI-Proceedings.26-43.pdf,4.0,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni176/91,lni176,lni176/91.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni176\91.pdf,8.0,"{""source_vocab"": 3, ""artifact_vocab"": 2}"
